fecha,dia,mes,ano,linea,estacion,afluencia,DiaSemana
01/01/2021,1,Enero,2021,Linea1,Pantitlan,8639,4
02/01/2021,2,Enero,2021,Linea1,Pantitlan,16708,5
03/01/2021,3,Enero,2021,Linea1,Pantitlan,13348,6
04/01/2021,4,Enero,2021,Linea1,Pantitlan,27129,0
05/01/2021,5,Enero,2021,Linea1,Pantitlan,24221,1
06/01/2021,6,Enero,2021,Linea1,Pantitlan,25533,2
07/01/2021,7,Enero,2021,Linea1,Pantitlan,24049,3
08/01/2021,8,Enero,2021,Linea1,Pantitlan,23211,4
25/01/2021,25,Enero,2021,Linea1,Pantitlan,13065,0
26/01/2021,26,Enero,2021,Linea1,Pantitlan,15533,1
27/01/2021,27,Enero,2021,Linea1,Pantitlan,17921,2
28/01/2021,28,Enero,2021,Linea1,Pantitlan,18642,3
29/01/2021,29,Enero,2021,Linea1,Pantitlan,19799,4
30/01/2021,30,Enero,2021,Linea1,Pantitlan,16864,5
31/01/2021,31,Enero,2021,Linea1,Pantitlan,839,6
02/02/2021,2,Febrero,2021,Linea1,Pantitlan,19699,1
03/02/2021,3,Febrero,2021,Linea1,Pantitlan,19934,2
04/02/2021,4,Febrero,2021,Linea1,Pantitlan,18803,3
05/02/2021,5,Febrero,2021,Linea1,Pantitlan,23427,4
06/02/2021,6,Febrero,2021,Linea1,Pantitlan,14374,5
07/02/2021,7,Febrero,2021,Linea1,Pantitlan,7795,6
09/02/2021,9,Febrero,2021,Linea1,Pantitlan,23367,1
10/02/2021,10,Febrero,2021,Linea1,Pantitlan,19944,2
12/02/2021,12,Febrero,2021,Linea1,Pantitlan,20965,4
13/02/2021,13,Febrero,2021,Linea1,Pantitlan,21257,5
14/02/2021,14,Febrero,2021,Linea1,Pantitlan,14861,6
15/02/2021,15,Febrero,2021,Linea1,Pantitlan,23566,0
18/02/2021,18,Febrero,2021,Linea1,Pantitlan,24422,3
19/02/2021,19,Febrero,2021,Linea1,Pantitlan,24716,4
21/02/2021,21,Febrero,2021,Linea1,Pantitlan,13247,6
22/02/2021,22,Febrero,2021,Linea1,Pantitlan,26008,0
23/02/2021,23,Febrero,2021,Linea1,Pantitlan,23311,1
24/02/2021,24,Febrero,2021,Linea1,Pantitlan,25629,2
25/02/2021,25,Febrero,2021,Linea1,Pantitlan,27226,3
26/02/2021,26,Febrero,2021,Linea1,Pantitlan,28847,4
28/02/2021,28,Febrero,2021,Linea1,Pantitlan,12294,6
01/03/2021,1,Marzo,2021,Linea1,Pantitlan,23197,0
02/03/2021,2,Marzo,2021,Linea1,Pantitlan,23068,1
03/03/2021,3,Marzo,2021,Linea1,Pantitlan,26867,2
04/03/2021,4,Marzo,2021,Linea1,Pantitlan,25585,3
05/03/2021,5,Marzo,2021,Linea1,Pantitlan,28171,4
07/03/2021,7,Marzo,2021,Linea1,Pantitlan,12927,6
09/03/2021,9,Marzo,2021,Linea1,Pantitlan,25625,1
10/03/2021,10,Marzo,2021,Linea1,Pantitlan,26216,2
11/03/2021,11,Marzo,2021,Linea1,Pantitlan,25035,3
13/03/2021,13,Marzo,2021,Linea1,Pantitlan,22941,5
14/03/2021,14,Marzo,2021,Linea1,Pantitlan,12234,6
15/03/2021,15,Marzo,2021,Linea1,Pantitlan,18008,0
16/03/2021,16,Marzo,2021,Linea1,Pantitlan,26377,1
17/03/2021,17,Marzo,2021,Linea1,Pantitlan,27901,2
18/03/2021,18,Marzo,2021,Linea1,Pantitlan,27691,3
19/03/2021,19,Marzo,2021,Linea1,Pantitlan,29146,4
20/03/2021,20,Marzo,2021,Linea1,Pantitlan,22473,5
21/03/2021,21,Marzo,2021,Linea1,Pantitlan,15633,6
22/03/2021,22,Marzo,2021,Linea1,Pantitlan,24335,0
23/03/2021,23,Marzo,2021,Linea1,Pantitlan,27674,1
24/03/2021,24,Marzo,2021,Linea1,Pantitlan,28206,2
25/03/2021,25,Marzo,2021,Linea1,Pantitlan,27831,3
26/03/2021,26,Marzo,2021,Linea1,Pantitlan,28778,4
27/03/2021,27,Marzo,2021,Linea1,Pantitlan,36844,5
28/03/2021,28,Marzo,2021,Linea1,Pantitlan,20871,6
29/03/2021,29,Marzo,2021,Linea1,Pantitlan,47741,0
30/03/2021,30,Marzo,2021,Linea1,Pantitlan,45074,1
01/04/2021,1,Abril,2021,Linea1,Pantitlan,27264,3
02/04/2021,2,Abril,2021,Linea1,Pantitlan,20935,4
03/04/2021,3,Abril,2021,Linea1,Pantitlan,24081,5
04/04/2021,4,Abril,2021,Linea1,Pantitlan,18062,6
05/04/2021,5,Abril,2021,Linea1,Pantitlan,37762,0
07/04/2021,7,Abril,2021,Linea1,Pantitlan,38699,2
08/04/2021,8,Abril,2021,Linea1,Pantitlan,30231,3
09/04/2021,9,Abril,2021,Linea1,Pantitlan,28514,4
